"","Genus","value","Plate","Type","BINF","Expected"
"4111","Enterorhabdus",0,"PC07578","Seq200","QIIME2",NA
"4112","Faecalibacterium",0,"PC07578","Seq200","QIIME2",NA
"4113","Finegoldia",0,"PC07578","Seq200","QIIME2",NA
"4114","Flavonifractor",0,"PC07578","Seq200","QIIME2",NA
"4115","Gemella",0,"PC07578","Seq200","QIIME2",NA
"4116","Gordonibacter",0,"PC07578","Seq200","QIIME2",NA
"4117","Granulicatella",0,"PC07578","Seq200","QIIME2",NA
"4118","Haemophilus",0,"PC07578","Seq200","QIIME2",NA
"4119","Holdemania",0,"PC07578","Seq200","QIIME2",NA
"4120","Incertae Sedis",0,"PC07578","Seq200","QIIME2",NA
"4121","Intestinimonas",0,"PC07578","Seq200","QIIME2",NA
"4122","Lachnoanaerobaculum",0,"PC07578","Seq200","QIIME2",NA
"4123","Lachnospira",0,"PC07578","Seq200","QIIME2",NA
"4124","Lactococcus",0,"PC07578","Seq200","QIIME2",NA
"4125","Lautropia",0,"PC07578","Seq200","QIIME2",NA
"4126","Leptotrichia",0,"PC07578","Seq200","QIIME2",NA
"4127","Leuconostoc",0,"PC07578","Seq200","QIIME2",NA
"4128","Lysobacter",0,"PC07578","Seq200","QIIME2",NA
"4129","Marvinbryantia",0,"PC07578","Seq200","QIIME2",NA
"4130","Massilia",0,"PC07578","Seq200","QIIME2",NA
"4131","Megasphaera",0,"PC07578","Seq200","QIIME2",NA
"4132","Methylobacterium",0,"PC07578","Seq200","QIIME2",NA
"4133","Mogibacterium",0,"PC07578","Seq200","QIIME2",NA
"4134","Moraxella",0,"PC07578","Seq200","QIIME2",NA
"4135","Mycobacterium",0,"PC07578","Seq200","QIIME2",NA
"4136","Nevskia",0,"PC07578","Seq200","QIIME2",NA
"4137","Nocardioides",0,"PC07578","Seq200","QIIME2",NA
"4138","Nosocomiicoccus",0,"PC07578","Seq200","QIIME2",NA
"4139","Odoribacter",0,"PC07578","Seq200","QIIME2",NA
"4140","Oribacterium",0,"PC07578","Seq200","QIIME2",NA
"4141","Oscillibacter",0,"PC07578","Seq200","QIIME2",NA
"4142","Oscillospira",0,"PC07578","Seq200","QIIME2",NA
"4143","Papillibacter",0,"PC07578","Seq200","QIIME2",NA
"4144","Paracoccus",0,"PC07578","Seq200","QIIME2",NA
"4145","Parasutterella",0,"PC07578","Seq200","QIIME2",NA
"4146","Pedobacter",0,"PC07578","Seq200","QIIME2",NA
"4147","Peptoniphilus",0,"PC07578","Seq200","QIIME2",NA
"4148","Phascolarctobacterium",0,"PC07578","Seq200","QIIME2",NA
"4149","Phenylobacterium",0,"PC07578","Seq200","QIIME2",NA
"4150","Porphyromonas",0,"PC07578","Seq200","QIIME2",NA
"4151","Prevotella",0,"PC07578","Seq200","QIIME2",NA
"4152","Pseudobutyrivibrio",0,"PC07578","Seq200","QIIME2",NA
"4153","Rhizobium",0,"PC07578","Seq200","QIIME2",NA
"4154","Roseburia",0,"PC07578","Seq200","QIIME2",NA
"4155","Rothia",0,"PC07578","Seq200","QIIME2",NA
"4156","Rubellimicrobium",0,"PC07578","Seq200","QIIME2",NA
"4157","Ruminococcus",0,"PC07578","Seq200","QIIME2",NA
"4158","Salinarimonas",0,"PC07578","Seq200","QIIME2",NA
"4159","Scardovia",0,"PC07578","Seq200","QIIME2",NA
"4160","Sediminibacterium",0,"PC07578","Seq200","QIIME2",NA
"4161","Solobacterium",0,"PC07578","Seq200","QIIME2",NA
"4162","Sphingomonas",0,"PC07578","Seq200","QIIME2",NA
"4163","Stomatobaculum",0,"PC07578","Seq200","QIIME2",NA
"4164","Succiniclasticum",0,"PC07578","Seq200","QIIME2",NA
"4165","Sutterella",0,"PC07578","Seq200","QIIME2",NA
"4166","Synergistes",0,"PC07578","Seq200","QIIME2",NA
"4167","Thalassospira",0,"PC07578","Seq200","QIIME2",NA
"4168","Treponema",0,"PC07578","Seq200","QIIME2",NA
"4169","Turicibacter",0,"PC07578","Seq200","QIIME2",NA
"4170","uncultured",0,"PC07578","Seq200","QIIME2",NA
"4171","Veillonella",0,"PC07578","Seq200","QIIME2",NA
"4172","Weissella",0,"PC07578","Seq200","QIIME2",NA
"4173","Basidiomycota",0.000773299,"PC04924","Seq200","QIIME2",NA
"4174","Basidiomycota",0.00088524,"PC07578","Seq200","QIIME2",NA
"4175","Basidiomycota",0.00120831,"PC04925","Seq200","QIIME2",NA
"4179","other",0.166232197,"PC04925","Seq200","QIIME2",NA
"4180","other",0.167406705,"PC04924","Seq200","QIIME2",NA
"4184","other",0.189149489,"PC07578","Seq200","QIIME2",NA
"4185","Clostridium",NA,"PC04924","Seq200","QIIME2",NA
"4186","Lachnoclostridium",NA,"PC04924","Seq200","QIIME2",NA
"4188","Porphyromonadaceae",NA,"PC04924","Seq200","QIIME2",NA
"4189","Rhodobacter",NA,"PC04924","Seq200","QIIME2",NA
"4192","Clostridium",NA,"PC04925","Seq200","QIIME2",NA
"4193","Lachnoclostridium",NA,"PC04925","Seq200","QIIME2",NA
"4195","Porphyromonadaceae",NA,"PC04925","Seq200","QIIME2",NA
"4196","Rhodobacter",NA,"PC04925","Seq200","QIIME2",NA
"4199","Clostridium",NA,"PC07578","Seq200","QIIME2",NA
"4200","Lachnoclostridium",NA,"PC07578","Seq200","QIIME2",NA
"4202","Porphyromonadaceae",NA,"PC07578","Seq200","QIIME2",NA
"4203","Rhodobacter",NA,"PC07578","Seq200","QIIME2",NA
"4206","Acinetobacter",0,"PC07578","Seq2000","QIIME2",NA
"4207","Actinomyces",0,"PC07578","Seq2000","QIIME2",NA
"4208","Alistipes",0,"PC07578","Seq2000","QIIME2",NA
"4209","Anaerostipes",0,"PC07578","Seq2000","QIIME2",NA
"4210","Bacteroides",0,"PC07578","Seq2000","QIIME2",NA
"4211","Bifidobacterium",0,"PC07578","Seq2000","QIIME2",NA
"4212","Bilophila",0,"PC07578","Seq2000","QIIME2",NA
"4213","Clostridium",NA,"PC07578","Seq2000","QIIME2",NA
"4214","Lachnoclostridium",NA,"PC07578","Seq2000","QIIME2",NA
"4215","Collinsella",0,"PC07578","Seq2000","QIIME2",NA
"4216","Coprobacillus",0,"PC07578","Seq2000","QIIME2",NA
"4218","Deinococcus",0,"PC07578","Seq2000","QIIME2",NA
"4220","Fusobacterium",0,"PC07578","Seq2000","QIIME2",NA
"4221","Helicobacter",0,"PC07578","Seq2000","QIIME2",NA
"4223","Neisseria",0,"PC07578","Seq2000","QIIME2",NA
"4224","Paenibacillus",0,"PC07578","Seq2000","QIIME2",NA
"4225","Parabacteroides",0,"PC07578","Seq2000","QIIME2",NA
"4226","Pediococcus",0,"PC07578","Seq2000","QIIME2",NA
"4227","Porphyromonadaceae",NA,"PC07578","Seq2000","QIIME2",NA
"4228","Propionibacterium",0,"PC07578","Seq2000","QIIME2",NA
"4230","Pyramidobacter",0,"PC07578","Seq2000","QIIME2",NA
"4231","Ralstonia",0,"PC07578","Seq2000","QIIME2",NA
"4232","Rhodobacter",NA,"PC07578","Seq2000","QIIME2",NA
"4235","Streptococcus",0,"PC07578","Seq2000","QIIME2",NA
"4236","Subdoligranulum",0,"PC07578","Seq2000","QIIME2",NA
"4237","Abiotrophia",0,"PC07578","Seq2000","QIIME2",NA
"4238","Acetanaerobacterium",0,"PC07578","Seq2000","QIIME2",NA
"4239","Acidaminococcus",0,"PC07578","Seq2000","QIIME2",NA
"4240","Actinobacillus",0,"PC07578","Seq2000","QIIME2",NA
"4241","Adlercreutzia",0,"PC07578","Seq2000","QIIME2",NA
"4242","Akkermansia",0,"PC07578","Seq2000","QIIME2",NA
"4243","Alcaligenes",0,"PC07578","Seq2000","QIIME2",NA
"4244","Alkanindiges",0,"PC07578","Seq2000","QIIME2",NA
"4245","Alloprevotella",0,"PC07578","Seq2000","QIIME2",NA
"4246","Anaerococcus",0,"PC07578","Seq2000","QIIME2",NA
"4247","Anaerofilum",0,"PC07578","Seq2000","QIIME2",NA
"4248","Anaerofustis",0,"PC07578","Seq2000","QIIME2",NA
"4249","Anaeromyxobacter",0,"PC07578","Seq2000","QIIME2",NA
"4250","Anaerosporobacter",0,"PC07578","Seq2000","QIIME2",NA
"4251","Anaerotruncus",0,"PC07578","Seq2000","QIIME2",NA
"4252","Arthrobacter",0,"PC07578","Seq2000","QIIME2",NA
"4253","Atopobium",0,"PC07578","Seq2000","QIIME2",NA
"4254","Azospirillum",0,"PC07578","Seq2000","QIIME2",NA
"4255","Basidiomycota",0.000819428,"PC07578","Seq2000","QIIME2",NA
"4256","Bergeyella",0,"PC07578","Seq2000","QIIME2",NA
"4257","Blautia",0,"PC07578","Seq2000","QIIME2",NA
"4258","Bradyrhizobium",0,"PC07578","Seq2000","QIIME2",NA
"4259","Brevundimonas",0,"PC07578","Seq2000","QIIME2",NA
"4260","Bryobacter",0,"PC07578","Seq2000","QIIME2",NA
"4261","Butyricimonas",0,"PC07578","Seq2000","QIIME2",NA
"4262","Campylobacter",0,"PC07578","Seq2000","QIIME2",NA
"4263","Candidatus Planktophila",0,"PC07578","Seq2000","QIIME2",NA
"4264","Capnocytophaga",0,"PC07578","Seq2000","QIIME2",NA
"4265","Christensenella",0,"PC07578","Seq2000","QIIME2",NA
"4266","Clostridium sensu stricto 1",0,"PC07578","Seq2000","QIIME2",NA
"4267","Coprococcus",0,"PC07578","Seq2000","QIIME2",NA
"4268","Corynebacterium",0,"PC07578","Seq2000","QIIME2",NA
"4269","Desulfovibrio",0,"PC07578","Seq2000","QIIME2",NA
"4270","Devosia",0,"PC07578","Seq2000","QIIME2",NA
"4271","Dialister",0,"PC07578","Seq2000","QIIME2",NA
"4272","Dolosigranulum",0,"PC07578","Seq2000","QIIME2",NA
"4273","Dorea",0,"PC07578","Seq2000","QIIME2",NA
"4274","Eggerthella",0,"PC07578","Seq2000","QIIME2",NA
"4275","Eggerthia",0,"PC07578","Seq2000","QIIME2",NA
"4276","Enterorhabdus",0,"PC07578","Seq2000","QIIME2",NA
"4277","Faecalibacterium",0,"PC07578","Seq2000","QIIME2",NA
"4278","Finegoldia",0,"PC07578","Seq2000","QIIME2",NA
"4279","Flavonifractor",0,"PC07578","Seq2000","QIIME2",NA
"4280","Gemella",0,"PC07578","Seq2000","QIIME2",NA
"4281","Gordonibacter",0,"PC07578","Seq2000","QIIME2",NA
"4282","Granulicatella",0,"PC07578","Seq2000","QIIME2",NA
"4283","Haemophilus",0,"PC07578","Seq2000","QIIME2",NA
"4284","Holdemania",0,"PC07578","Seq2000","QIIME2",NA
"4285","Incertae Sedis",0,"PC07578","Seq2000","QIIME2",NA
"4286","Intestinimonas",0,"PC07578","Seq2000","QIIME2",NA
"4287","Lachnoanaerobaculum",0,"PC07578","Seq2000","QIIME2",NA
"4288","Lachnospira",0,"PC07578","Seq2000","QIIME2",NA
"4289","Lactococcus",0,"PC07578","Seq2000","QIIME2",NA
"4290","Lautropia",0,"PC07578","Seq2000","QIIME2",NA
"4291","Leptotrichia",0,"PC07578","Seq2000","QIIME2",NA
"4292","Leuconostoc",0,"PC07578","Seq2000","QIIME2",NA
"4293","Lysobacter",0,"PC07578","Seq2000","QIIME2",NA
"4294","Marvinbryantia",0,"PC07578","Seq2000","QIIME2",NA
"4295","Massilia",0,"PC07578","Seq2000","QIIME2",NA
"4296","Megasphaera",0,"PC07578","Seq2000","QIIME2",NA
"4297","Methylobacterium",0,"PC07578","Seq2000","QIIME2",NA
"4298","Mogibacterium",0,"PC07578","Seq2000","QIIME2",NA
"4299","Moraxella",0,"PC07578","Seq2000","QIIME2",NA
"4300","Mycobacterium",0,"PC07578","Seq2000","QIIME2",NA
"4301","Nevskia",0,"PC07578","Seq2000","QIIME2",NA
"4302","Nocardioides",0,"PC07578","Seq2000","QIIME2",NA
"4303","Nosocomiicoccus",0,"PC07578","Seq2000","QIIME2",NA
"4304","Odoribacter",0,"PC07578","Seq2000","QIIME2",NA
"4305","Oribacterium",0,"PC07578","Seq2000","QIIME2",NA
"4306","Oscillibacter",0,"PC07578","Seq2000","QIIME2",NA
"4307","Oscillospira",0,"PC07578","Seq2000","QIIME2",NA
"4308","other",0.166588626,"PC07578","Seq2000","QIIME2",NA
"4309","Papillibacter",0,"PC07578","Seq2000","QIIME2",NA
"4310","Paracoccus",0,"PC07578","Seq2000","QIIME2",NA
"4311","Parasutterella",0,"PC07578","Seq2000","QIIME2",NA
"4312","Pedobacter",0,"PC07578","Seq2000","QIIME2",NA
"4313","Peptoniphilus",0,"PC07578","Seq2000","QIIME2",NA
"4314","Phascolarctobacterium",0,"PC07578","Seq2000","QIIME2",NA
"4315","Phenylobacterium",0,"PC07578","Seq2000","QIIME2",NA
"4316","Porphyromonas",0,"PC07578","Seq2000","QIIME2",NA
"4317","Prevotella",0,"PC07578","Seq2000","QIIME2",NA
"4318","Pseudobutyrivibrio",0,"PC07578","Seq2000","QIIME2",NA
"4319","Rhizobium",0,"PC07578","Seq2000","QIIME2",NA
"4320","Roseburia",0,"PC07578","Seq2000","QIIME2",NA
"4321","Rothia",0,"PC07578","Seq2000","QIIME2",NA
"4322","Rubellimicrobium",0,"PC07578","Seq2000","QIIME2",NA
"4323","Ruminococcus",0,"PC07578","Seq2000","QIIME2",NA
"4324","Salinarimonas",0,"PC07578","Seq2000","QIIME2",NA
"4325","Scardovia",0,"PC07578","Seq2000","QIIME2",NA
"4326","Sediminibacterium",0,"PC07578","Seq2000","QIIME2",NA
"4327","Solobacterium",0,"PC07578","Seq2000","QIIME2",NA
"4328","Sphingomonas",0,"PC07578","Seq2000","QIIME2",NA
"4329","Stomatobaculum",0,"PC07578","Seq2000","QIIME2",NA
"4330","Succiniclasticum",0,"PC07578","Seq2000","QIIME2",NA
"4331","Sutterella",0,"PC07578","Seq2000","QIIME2",NA
"4332","Synergistes",0,"PC07578","Seq2000","QIIME2",NA
"4333","Thalassospira",0,"PC07578","Seq2000","QIIME2",NA
"4334","Treponema",0,"PC07578","Seq2000","QIIME2",NA
"4335","Turicibacter",0,"PC07578","Seq2000","QIIME2",NA
"4336","uncultured",0,"PC07578","Seq2000","QIIME2",NA
"4337","Veillonella",0,"PC07578","Seq2000","QIIME2",NA
"4338","Weissella",0,"PC07578","Seq2000","QIIME2",NA
